"Yield","Latitude","Longitude","TimeStamp"
93.430792045,139.86632828011,599.969729789949,"2016-10-30 04:04:22"
85.54778379,143.733634156588,599.937396215103,"2016-10-30 04:04:24"
91.67040344,146.66493943462,599.917885533032,"2016-10-30 04:04:26"
101.74150786,149.597018825899,599.90589170511,"2016-10-30 04:04:27"
111.19035835,152.551326009337,599.865267492723,"2016-10-30 04:04:28"
103.15379217,155.52360343044,599.854931807076,"2016-10-30 04:04:30"
90.90842919,158.499751364344,599.848575624871,"2016-10-30 04:04:31"
88.66368425,160.479021061879,599.824366915437,"2016-10-30 04:04:32"
87.78039949,162.477864495598,599.803032289117,"2016-10-30 04:04:33"
95.93873886,164.461225878116,599.772854295457,"2016-10-30 04:04:34"
96.90899799,166.426340556759,599.757267858929,"2016-10-30 04:04:35"
86.69949961,168.396763366995,599.726316070882,"2016-10-30 04:04:36"
86.69949961,170.36596973062,599.694701029382,"2016-10-30 04:04:37"
109.56244399,172.34181125972,599.596429121812,"2016-10-30 04:04:38"
111.89910467,174.308363557156,599.52380296052,"2016-10-30 04:04:40"
112.46781615,176.267838345538,599.472400883045,"2016-10-30 04:04:41"
135.43373193,178.228418994832,599.439569867715,"2016-10-30 04:04:42"
134.0709385,180.204039351749,599.425862636478,"2016-10-30 04:04:43"
146.49785586,182.172361026645,599.415140052851,"2016-10-30 04:04:44"
140.890146115,185.109472073877,599.430284309937,"2016-10-30 04:04:45"
135.22514439,188.031653999972,599.429952683995,"2016-10-30 04:04:47"
127.28516658,189.982945418388,599.42840509365,"2016-10-30 04:04:48"
115.53845096,192.90949549489,599.383635553854,"2016-10-30 04:04:49"
126.15861732,195.818572981548,599.340524145336,"2016-10-30 04:04:51"
128.54359281,198.757729870879,599.292769956358,"2016-10-30 04:04:52"
129.61110779,201.712700570864,599.264139551472,"2016-10-30 04:04:53"
124.349727815,204.729544183201,599.211632053668,"2016-10-30 04:04:55"
118.43487916,207.747161897782,599.179353747718,"2016-10-30 04:04:56"
112.76604556,209.753082840556,599.175595316716,"2016-10-30 04:04:57"
114.28999641,211.75590737356,599.155808291737,"2016-10-30 04:04:58"
110.2952035,214.790002414558,599.12546447411,"2016-10-30 04:05:00"
111.54345125,218.869357104287,599.08788015938,"2016-10-30 04:05:02"
109.8538673,221.995846816459,599.073122787706,"2016-10-30 04:05:03"
112.67813051,224.059161936263,599.072348993319,"2016-10-30 04:05:04"
120.43705445,226.094941121314,599.06041044686,"2016-10-30 04:05:05"
125.15071169,228.144875325256,599.030674621645,"2016-10-30 04:05:06"
129.9822633,230.193814253985,599.019288773569,"2016-10-30 04:05:07"
134.78210096,232.247508384244,598.992537584969,"2016-10-30 04:05:08"
129.05086337,234.282071122684,598.971092427141,"2016-10-30 04:05:09"
139.15254856,236.316855033306,598.950089428334,"2016-10-30 04:05:10"
126.22183262,238.345667295001,598.938814133758,"2016-10-30 04:05:11"
124.19584516,240.386865198129,598.916705713051,"2016-10-30 04:05:12"
142.67635001,242.419879731291,598.90587258692,"2016-10-30 04:05:13"
150.77361864,244.451346059175,598.910736439822,"2016-10-30 04:05:14"
157.68551274,246.470316159929,598.913057813557,"2016-10-30 04:05:15"
162.17501198,248.508085894621,598.866409057475,"2016-10-30 04:05:16"
