"Yield","Latitude","Longitude","TimeStamp"
58.69076727,1.39195375456542,256.876171600906,"2017-10-10 22:01:07"
58.25433308,3.15215239871888,256.682280625846,"2017-10-10 22:01:08"
65.81719233,4.7967885874276,256.493474590775,"2017-10-10 22:01:09"
61.12726859,6.44485294530867,256.304558002125,"2017-10-10 22:01:10"
58.82723133,8.11127459250187,256.136754958944,"2017-10-10 22:01:11"
61.88787945,9.77482100214966,255.983764568537,"2017-10-10 22:01:12"
62.59774458,11.4486519161715,255.835638045519,"2017-10-10 22:01:13"
62.86061834,13.1036832083089,255.676015134664,"2017-10-10 22:01:14"
62.24630539,14.7798364306065,255.515397345271,"2017-10-10 22:01:15"
63.50270673,16.444820459027,255.35113166319,"2017-10-10 22:01:16"
64.32065358,18.1105785896822,255.191066585143,"2017-10-10 22:01:17"
64.14158925,19.7825295405727,255.023926805319,"2017-10-10 22:01:18"
63.94766668,21.4363443751161,254.855349990759,"2017-10-10 22:01:19"
62.61349747,23.1163681101589,254.688210199938,"2017-10-10 22:01:20"
65.04451365,24.7963918452017,254.529140002001,"2017-10-10 22:01:21"
60.13026985,26.466352247264,254.360563185871,"2017-10-10 22:01:22"
59.10009916,28.1474818432035,254.191544189981,"2017-10-10 22:01:23"
56.25703834,29.8199857241493,254.031036930604,"2017-10-10 22:01:24"
58.28929086,31.5004518043365,253.868650466159,"2017-10-10 22:01:25"
52.24823821,33.1743933048409,253.720081763381,"2017-10-10 22:01:26"
61.58186215,34.8403726076754,253.573834456427,"2017-10-10 22:01:27"
59.92573601,36.5144246946623,253.408794990401,"2017-10-10 22:01:28"
71.69738102,38.1796298944764,253.237454609684,"2017-10-10 22:01:29"
62.37931258,39.8710439963614,253.076947361304,"2017-10-10 22:01:30"
60.18028992,41.5548276576668,252.913897644499,"2017-10-10 22:01:31"
65.38104605,43.2372842866822,252.742888888392,"2017-10-10 22:01:32"
59.57249675,44.9233902562634,252.590561762911,"2017-10-10 22:01:33"
63.18306578,46.6422297060269,252.433260227458,"2017-10-10 22:01:34"
61.50634362,48.3401683860232,252.286791836907,"2017-10-10 22:01:35"
61.48170582,50.045184574972,252.107160803275,"2017-10-10 22:01:36"
60.46191581,51.759600581149,251.930624938416,"2017-10-10 22:01:37"
59.40003364,53.4747906903466,251.760832136588,"2017-10-10 22:01:38"
61.12559217,55.1909760731724,251.598335140555,"2017-10-10 22:01:39"
55.56065425,56.9123590026052,251.420693854574,"2017-10-10 22:01:40"
59.65190417,58.6372806869072,251.256428172494,"2017-10-10 22:01:41"
61.21468867,60.3425180480353,251.062537186438,"2017-10-10 22:01:42"
59.05795879,62.067550318034,250.884785357873,"2017-10-10 22:01:43"
63.01723784,63.7931355290887,250.726599486465,"2017-10-10 22:01:44"
64.5348264,65.5136337588036,250.560675682913,"2017-10-10 22:01:45"
63.18306578,67.2290450393947,250.387677168157,"2017-10-10 22:01:46"
62.95117595,68.9519761740827,250.218105449925,"2017-10-10 22:01:47"
63.55116614,70.6575452938727,250.054503032771,"2017-10-10 22:01:48"
62.31208931,72.3518346333031,249.893885243378,"2017-10-10 22:01:49"
62.44638025,74.0468980749682,249.729509007718,"2017-10-10 22:01:50"
60.92332217,75.735436938522,249.58038760459,"2017-10-10 22:01:51"
65.70086449,77.410041966565,249.422422827774,"2017-10-10 22:01:52"
61.42045477,79.0819929072405,249.282255340918,"2017-10-10 22:01:53"
61.84199318,80.7752869824717,249.129154418924,"2017-10-10 22:01:54"
59.53129285,82.4402710108922,248.974505907045,"2017-10-10 22:01:55"
59.721832,84.1189677128591,248.813777575068,"2017-10-10 22:01:56"
56.39260695,85.792356283308,248.638899855244,"2017-10-10 22:01:57"
56.93830891,87.4721588461715,248.459158268032,"2017-10-10 22:01:58"
58.71957282,89.1285171603842,248.277758548351,"2017-10-10 22:01:59"
57.61372162,90.8077667931923,248.120346481311,"2017-10-10 22:02:00"
64.63284814,92.4663368284125,247.966803390553,"2017-10-10 22:02:01"
60.60515363,94.1364078161716,247.808617517575,"2017-10-10 22:02:02"
60.63954046,95.6971091702927,247.679946407558,"2017-10-10 22:02:03"
63.31885119,97.2063879970434,247.513690977827,"2017-10-10 22:02:04"
56.44860444,98.7229655057116,247.360811151995,"2017-10-10 22:02:05"
59.32769775,100.217978728075,247.201188263133,"2017-10-10 22:02:06"
62.78687291,101.699721620464,247.042228606208,"2017-10-10 22:02:07"
62.38703294,103.146629898147,246.897749975877,"2017-10-10 22:02:08"
62.48060068,104.635450300275,246.75868788815,"2017-10-10 22:02:09"
57.2037884,106.22722634284,246.615314667944,"2017-10-10 22:02:10"
58.3320263,107.845100700994,246.489075485338,"2017-10-10 22:02:11"
54.7547633,109.470384325977,246.351118853293,"2017-10-10 22:02:12"
59.86613171,111.098100855932,246.20398722138,"2017-10-10 22:02:13"
